BCode,BTSID,Lat,Long
1,26a5430bd567b291cfcf7534153940ee,31.273451,121.681542
2,97ecfd78383fad641c61d4f7284b512a,31.174661,121.52822
3,44afbdebf3d396c98e9df38e81c58c27,31.050708,121.217094
4,8da34095d6277456f4bc4b1f08e076c4,31.108567,121.766873
5,89cac4c28f45f573d71a59337f51c87d,31.108567,121.766873
6,9a1ffd7b69c21186adf423e8f0a37f23,31.116021,121.287621
7,2b0b56fe2a5e965908b355c12d984d36,31.242157,121.568785
8,1c6eeb2930c93e6a13dc06361343d06b,31.231508,121.577691
9,c266be6ef78f116d463648f927cff9fe,31.242948,121.608734
10,ea688b633e92ea48e06cae206375f740,31.134254,121.280533
11,1f44297aaa9a8010dfcf8dd743f47c04,31.100034,121.663489
12,35ea87c67483c8ca6e4c7c4ffb4de77b,31.103853,121.810034
13,8ab78978ce5f326fa90ac243b9b68624,31.187254,121.536259
14,afdcbad21607bcba5d76bce6bba83653,31.298668,121.541944
15,68c9f074eaa0ba61474f7e38048bc8c6,31.209025,121.616514
16,2f4ed142e3419fcd7941df71ac393c32,31.166408,121.569203
17,ba725841ddebc6e74530b4a9f9a6da9b,31.019691,121.249497
18,3f6b4759ee89923c1ad6cc63a8d33e7d,31.112548,121.538798
19,d72a5941d9d2cdd630ce387621d09d03,31.273451,121.681542
20,50f748d200b93ad6a61e7e9a4c047704,31.269868,121.533249
21,0b407eb39b48a0a42ca94128cbb3f399,31.124664,121.323455
22,e8cd71d74b0848a4997e359a70befe0b,31.021462,121.321255
23,fc500020ef20893b266ffb6f4b153814,31.175781,121.643301
24,6405c0ff1fab7ba1bb4868cb75c71ca9,31.038291,121.194794
25,087bd62a377feb26dbe0d98bb1a39285,30.935314,121.733322
26,b00431995da32e9457d09632fbf03591,31.057696,121.207516
27,283fd336275a66c80b1a95ca939c1a94,31.321039,121.453913
28,b1991b5f64ba5802211d75aad17f3aee,31.011886,121.234971
29,c77286229651a2618b735b400458174e,31.215246,121.604329
30,bc36fa834270807686c235ab52bb827a,31.040378,121.255563
