#{"t_start": 1785961242.5717142, "env_id": "None"}
r,l,t
-120.383464,363,105.911587
-138.264162,363,152.223275
-135.418772,363,192.667099
-131.549836,363,236.411682
-131.96754,363,285.828203
-121.457232,363,350.204476
-116.827843,363,398.828999
-114.649007,363,456.633292
-128.838841,363,507.173549
-83.061535,363,557.169166
-121.906852,363,607.143895
-134.239424,363,682.7277
-141.695093,363,729.085419
-79.897095,363,773.537616
-89.683078,363,817.718952
-123.772337,363,860.883295
-111.915431,363,928.337567
-140.466957,363,974.062674
-79.470608,363,1022.177492
-128.832182,363,1065.155773
-157.308015,363,1108.096023
-144.602961,363,1150.312735
-80.009196,363,1212.294731
-130.422853,363,1260.223342
-133.487567,363,1300.789013
-117.844747,363,1344.021602
-141.171499,363,1397.9837
-80.431913,363,1439.967063
-89.161097,363,1506.472666
-78.168735,362,1546.777096
-121.738131,362,1591.574116
-106.251818,363,1652.327325
-119.380505,363,1697.672722
-101.112234,363,1765.532871
-121.478557,363,1815.282174
-68.139081,362,1865.413044
-126.435088,363,1908.424346
-128.18952,363,1956.392756
-131.90983,363,2008.033315
-137.070611,363,2079.141924
-127.638002,363,2128.12245
-132.78741,363,2176.940554
-112.219522,363,2218.234883
-131.827534,363,2262.828671
-124.197118,363,2313.717346
-131.042567,363,2380.814394
-130.736484,363,2425.283202
-121.663226,363,2472.473095
-145.669104,363,2514.889404
-136.696021,363,2566.066652
-132.72917,363,2633.495327
-126.929097,363,2679.437251
-134.848937,363,2721.281471
-146.643383,363,2767.699244
-153.307775,363,2811.308498
-138.989446,363,2856.298671
-119.653862,363,2923.41393
-130.314425,363,2973.786127
-131.55538,363,3026.199698
-61.431999,363,3068.45748
-123.627038,363,3114.196678
-91.720931,363,3156.690569
-123.417099,363,3226.824861
-127.814937,363,3271.451843
-114.541079,363,3312.716525
-80.976811,363,3359.882777
-73.238326,362,3403.665698
-103.33601,363,3476.046255
-130.888902,363,3517.055174
-73.524874,363,3561.735327
-122.515501,363,3614.426058
-127.074396,363,3660.294774
-117.437447,363,3710.774579
-114.568068,363,3784.920122
-129.822404,363,3832.436733
-127.186435,363,3881.95077
-99.595321,363,3927.47316
-104.543832,363,3969.452901
-81.75601,363,4035.498278
-123.947139,363,4082.364999
-111.325456,363,4127.055844
-140.879259,363,4166.342236
-114.679322,363,4211.030842
-126.687185,363,4259.304079
-75.570678,363,4324.955897
-133.679369,363,4371.161623
-103.272327,363,4417.619382
-94.60159,363,4459.774976
-91.785035,363,4504.04249
-121.011761,363,4554.047755
-112.989377,363,4621.32016
-83.33736,363,4665.655656
-127.982603,363,4715.235524
-98.795227,363,4756.241051
-72.92906,363,4799.932665
-61.560456,362,4865.074571
-119.378006,363,4908.59503
-129.0702,363,4953.419714
-133.532173,363,4996.663744
-90.297696,363,5041.866034
-73.018388,363,5081.623577
-77.412856,363,5147.08212
-120.456422,363,5195.969368
-114.877969,363,5246.667913
-80.187238,363,5289.217984
-59.073958,363,5328.993281
-124.687679,363,5378.776417
-112.700246,363,5445.851827
-132.130462,363,5491.385393
-91.892814,363,5539.280762
-133.933319,363,5590.473535
-134.431771,363,5634.404005
-72.172888,362,5699.892318
-67.087575,363,5748.717911
-124.585502,363,5796.515762
-60.19598,362,5841.682269
-132.817932,363,5891.609162
-104.309828,363,5937.586803
-129.903533,363,6006.354024
-119.201251,363,6058.608629
-129.107899,363,6107.853013
-126.308656,363,6158.218332
-139.982428,363,6208.485461
-151.131039,363,6253.049892
-128.742913,363,6321.488773
-91.373428,362,6370.675895
-109.536169,363,6421.038285
-124.601716,363,6472.375842
-64.461834,363,6518.533797
-127.608825,363,6590.134306
-67.489151,363,6637.024706
-117.082485,363,6685.743774
-89.029886,363,6730.785631
-101.755213,363,6778.759543
-63.542298,363,6827.493496
-127.762269,363,6896.096485
-87.076969,363,6942.971622
-107.063892,363,6989.840545
-116.981279,363,7040.346401
-136.643045,363,7090.629625
-114.782837,363,7139.077447
-120.583716,363,7212.002858
-126.202428,363,7256.482197
-104.199717,363,7304.210789
-104.68123,363,7350.792413
-144.361165,363,7400.17944
-129.547843,363,7470.452344
-63.019648,363,7517.955584
-55.518497,363,7560.898162
-93.59646,363,7604.960387
-91.463759,363,7655.224028
-55.287722,363,7699.703671
-132.272593,363,7767.528819
-60.730819,363,7812.508305
-93.068419,361,7858.429814
-87.875937,363,7904.66263
-96.863291,363,7952.209411
-106.937732,363,7994.932342
-94.716676,363,8060.323319
-91.046033,363,8108.776285
-125.903494,363,8156.560819
-132.534002,363,8202.229647
-111.48774,363,8247.721874
-105.084566,363,8316.849578
-94.339334,363,8364.167627
-86.256458,363,8407.522166
-63.544642,363,8450.580205
-130.827421,363,8494.756993
-126.536842,363,8539.632379
-79.258205,363,8609.597808
-96.135986,363,8656.537878
-111.190914,363,8700.426025
-123.349879,363,8749.805586
-111.640022,363,8797.842549
-123.621975,363,8866.95296
-118.031458,363,8915.215444
-122.137597,363,8960.565434
-58.906,363,9003.543561
-138.346586,363,9050.582661
-112.30634,363,9097.52247
-89.734065,362,9164.972775
-104.567445,363,9211.556082
-54.648332,363,9257.271183
-98.495469,363,9299.752279
-105.097972,363,9346.149419
-102.884069,363,9391.481974
-99.382963,363,9459.454482
-106.455398,363,9507.895652
-108.32788,363,9551.147048
-108.507974,363,9602.132027
-110.303968,363,9647.703436
-85.276112,363,9714.360475
-59.901678,363,9761.702655
-119.933143,363,9813.745341
-118.815571,363,9866.788944
-142.740315,363,9915.492833
-123.359701,363,9962.664825
-114.560017,363,10033.31616
-109.228739,363,10076.766082
-54.628121,363,10118.992923
-92.401526,363,10163.529709
-91.078931,363,10205.783712
-61.485244,362,10249.725532
-130.745981,363,10315.486987
-101.204703,363,10360.700405
-78.293126,363,10405.995729
-129.743118,363,10452.624644
-127.960747,363,10499.736791
-131.200513,363,10570.274333
-129.058625,363,10615.900044
-109.226511,363,10654.786792
-113.285695,363,10703.419582
-73.635237,363,10746.573781
-71.670563,362,10788.997233
-100.05617,363,10855.001817
-51.545603,363,10896.720995
-72.323843,363,10940.73646
-101.989461,363,10983.398572
-97.200742,363,11033.399134
-125.660001,363,11079.390556
-103.690011,363,11149.248717
-86.707476,363,11192.306649
-62.17684,362,11237.111299
-86.22627,363,11280.592394
-95.906555,363,11326.954642
-132.418805,363,11394.558644
-114.110688,363,11439.818008
-65.367223,363,11482.695853
-127.75527,363,11529.424822
-132.205749,363,11578.252294
-108.795821,363,11625.766634
-69.131988,362,11689.064151
-55.306564,363,11735.089293
-119.89871,363,11783.979833
-86.322284,363,11831.013468
-93.948606,362,11876.03846
-110.616474,363,11919.058615
-97.656059,363,11987.319963
-102.436649,363,12032.501489
-138.557522,363,12081.990654
-80.483812,363,12130.36332
-94.397507,363,12175.045417
-111.565523,363,12245.802511
-128.730884,363,12292.197114
-125.284542,363,12338.712042
-80.065372,363,12382.815564
-107.377099,363,12423.195524
-114.250439,363,12467.420077
-108.478752,363,12527.98717
-89.365693,363,12570.632665
-133.176561,363,12617.695259
-94.954235,362,12660.842817
-92.853916,363,12706.80693
-97.470225,363,12775.948412
-63.486292,363,12820.693698
-69.779223,363,12861.827609
-83.956424,362,12908.788885
-93.960953,363,12958.293162
-84.436574,363,12999.573179
-151.106278,363,13072.269018
-100.528707,363,13123.028029
-63.412969,363,13162.271828
-97.700327,363,13209.988005
-126.872122,363,13257.552303
-132.767671,363,13306.992697
-111.916041,363,13371.243782
-129.815599,363,13419.519735
-74.003199,362,13469.037839
-60.274807,363,13510.836786
-71.505423,363,13554.603172
-125.140614,363,13622.35493
-95.782356,363,13669.844274
-97.109426,363,13705.000376
-141.496947,363,13752.876126
-121.61988,363,13798.010746
-102.386826,363,13836.527605
-92.72853,363,13904.727723
-69.023652,363,13950.719983
-90.894679,363,13997.728928
-113.042407,363,14040.84445
-51.490462,362,14083.513231
-130.276653,363,14127.587061
-111.785618,363,14199.943701
-108.792484,363,14248.54084
-73.364577,363,14290.343884
-115.724537,363,14339.069392
-99.741668,363,14386.043876
-95.77222,363,14455.202196
-103.030241,363,14500.916065
-104.630796,362,14551.244032
-111.520994,363,14597.661282
-96.882311,363,14642.059833
-89.614623,363,14688.134248
-107.793124,363,14756.983199
-136.491058,363,14805.622917
-122.920443,363,14853.807927
-70.465993,363,14900.172306
-89.529327,363,14946.301841
-108.135332,363,14991.079619
-119.450753,363,15058.803815
-64.202914,362,15105.416472
-96.703499,363,15155.089712
-94.294127,363,15204.305446
-103.564482,363,15253.248482
-122.505115,363,15322.694234
-96.00609,363,15372.618969
-69.531013,363,15415.106477
-110.324453,363,15459.907345
-65.576928,363,15504.106717
-136.156036,363,15549.499799
-101.607249,362,15618.940545
-114.729137,363,15661.330721
-75.230316,363,15704.00878
-65.859035,363,15746.520864
-134.184139,363,15788.580301
-108.036995,363,15832.629176
-118.987855,363,15900.259287
-94.146878,363,15944.862772
-59.925375,363,15987.610504
-84.115184,363,16032.666768
-98.4966,362,16074.679565
-97.362624,363,16144.295405
-118.952562,363,16189.313356
-88.086444,362,16236.107781
-97.81839,363,16286.33655
-93.607177,363,16333.209797
-59.382971,362,16377.992317
-113.256734,363,16446.312425
-147.011684,363,16491.667317
-98.859193,363,16533.696645
-122.512541,363,16579.073606
-92.8063,363,16626.547252
-141.31455,363,16692.21701
-113.629018,363,16736.06435
-94.516236,363,16786.449014
-114.6622,363,16840.622301
-60.249706,363,16889.951898
-92.194177,363,16937.280294
-76.652984,363,17013.815783
-85.475758,363,17062.813518
-119.097321,363,17108.38219
-131.408478,363,17154.978829
-70.73865,363,17194.374096
-66.430045,363,17239.689723
-92.510098,363,17306.863216
-62.941536,363,17351.288986
-126.818034,363,17399.146504
-138.8765,363,17447.265959
-66.095714,363,17497.495505
