total_requests,slow_requests,E_pct,servers_on,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,avg_load_balance_cv,cycle,total_replicas,cumulative_energy_joule,server_utilization
217,183,84.33179723502305,2,87.5998907847128,326.0160300623551,525.619590247119,173,79.72350230414746,14.247166215461707,19.245623422477024,32.61193712794013,37.89677205071839,0.5315635576352414,0,30,175067.7,0.0
202,178,88.11881188118812,2,82.00552175080722,299.0131790156374,389.7191467031007,164,81.18811881188118,15.2824521177947,20.373235955742512,35.863857096569774,40.186312599811544,0.6124229991141755,1,27,294391.2,7.233333333333333
206,152,73.7864077669903,3,51.36140625590876,175.0337989986859,225.01690907548013,141,68.44660194174757,11.933167759545178,16.746061734003547,29.774605437559153,36.104876806589104,0.4322794467363872,2,43,438216.9,4.488888888888889
182,121,66.48351648351648,4,39.636359466145414,124.76446076600541,197.12241308469473,106,58.24175824175824,10.797580855712813,15.480345266281772,28.332385662293483,32.05706139040162,0.3357212484487736,3,57,607653.6,3.433333333333333
185,121,65.4054054054054,5,44.966633604161366,158.0134627422135,279.0103863012995,110,59.45945945945946,10.631535867808873,15.282252810012249,27.153872807872308,28.77686249974624,0.5530738058229964,4,66,747177.6,2.4266666666666667
150,85,56.666666666666664,6,27.98763635045593,90.01781886638425,190.2164158998104,73,48.666666666666664,9.765971651297342,14.303017122598897,25.25185763458477,27.548717766420367,0.4529536782105736,5,69,886820.3999999999,2.0555555555555554
163,64,39.263803680981596,7,32.60848039938183,118.00853271768378,153.81724185449667,61,37.423312883435585,8.900352158785008,13.388374841952675,19.882254319126076,25.00285883859001,0.3840468558195605,6,68,1057440.5999999999,1.4285714285714286
167,70,41.91616766467066,8,40.02469671441627,171.0143281976356,270.0125148487747,64,38.32335329341317,8.34090399668589,12.720666512080228,20.059207561743595,24.338997457607228,0.5148416838660206,7,81,1262146.4999999998,1.3583333333333334
181,78,43.0939226519337,9,30.841000550819295,120.01669103047851,184.0138368388656,75,41.43646408839779,7.782119235331979,12.271269051335656,19.448283151975563,22.842368109828293,0.5248987403891868,8,75,1439213.0999999999,1.237037037037037
158,65,41.139240506329116,10,42.74051814212577,180.0151306034702,337.21502501810517,58,36.70886075949367,8.18696284300233,12.670040859949106,20.278393388553315,25.065465460028562,0.6349987569074843,9,86,1624750.4999999998,1.2066666666666668
140,57,40.714285714285715,10,32.87012345307135,120.01383095215782,150.01366321427778,54,38.57142857142857,8.435645257783351,12.980595928493734,19.454016563309732,21.216619332313762,0.42387769398637704,10,62,1782376.1999999997,1.0533333333333332
155,61,39.354838709677416,10,31.62539070838711,125.01816968730408,177.3103541690611,55,35.483870967741936,8.018395993237549,12.487482580652685,21.520446407141684,26.7974290633399,0.4218150077425046,11,100,1985873.0999999996,0.9333333333333333
139,45,32.37410071942446,10,40.041388626155864,182.01555551317392,268.60963519766705,40,28.776978417266186,8.25281923156462,12.611647738598313,20.07247300736228,24.03749388317571,0.4474741045832826,12,79,2174217.3,1.0333333333333334
131,46,35.11450381679389,10,36.3712525291012,145.0134565433211,194.0161479034437,46,35.11450381679389,8.023372929286957,12.473903146999158,19.556495453523738,21.18934067588437,0.4306623146162394,13,58,2341616.4,0.9266666666666666
130,40,30.76923076923077,10,42.604905656076035,163.76593139552529,220.6598822079087,37,28.46153846153846,8.11132618175913,12.597963768336603,19.57647608489032,23.361796508519213,0.4707862735555123,14,75,2517333.3,0.8733333333333333
122,37,30.327868852459016,10,30.791231887937364,148.5153334367099,231.60999299767698,33,27.049180327868854,8.066012952300097,12.543363347199486,20.029827553022344,23.67417237518114,0.5137476972938215,15,78,2688397.5,0.8666666666666667
119,40,33.61344537815126,10,35.06317941394437,122.01499087890916,204.6113272495599,37,31.092436974789916,8.33257612739038,12.759245877142536,19.635609270682824,24.72060697535424,0.4541222829670046,16,60,2844351.0,0.8133333333333334
111,32,28.82882882882883,10,29.723591954590262,120.01765390575663,178.01473384795293,29,26.126126126126128,7.557073554304117,11.880242878554904,20.73359697954896,26.254407888150894,0.4620346909128303,17,68,2995327.2,0.7933333333333333
127,44,34.645669291338585,10,41.49266122827119,178.51343765780993,247.41158182112497,39,30.708661417322833,7.849035467791101,12.346267641268367,22.907536125496478,25.266763612573786,0.5402061759630297,18,94,3187735.2,0.74
128,46,35.9375,10,35.32486975578069,123.25564249135543,189.2111038934423,43,33.59375,7.928835742771815,12.369755780688251,20.177595893335784,22.810296682286516,0.4111507829529937,19,71,3351568.5,0.8466666666666667
151,58,38.41059602649007,10,35.17822852900123,132.51487153484453,190.01699664399786,52,34.437086092715234,8.286114819370344,12.665615093945362,21.12702169334532,25.29967014561153,0.45624889171167815,20,94,3554347.5,0.8533333333333334
161,45,27.950310559006212,10,34.27291765542202,150.0122980156375,244.01259305716243,39,24.22360248447205,7.651064397945625,12.048090204626833,23.78823739712686,24.94503232600703,0.4825456496905595,21,102,3776451.6,1.0066666666666666
159,48,30.18867924528302,10,27.483340647781336,90.01389932145341,160.51089037020773,39,24.528301886792452,7.3212395301921465,11.64253457379257,20.741402625531656,24.58523338202925,0.40879957150655205,22,101,3974261.4,1.0733333333333333
143,49,34.26573426573427,10,31.509064777176878,100.01177117145409,155.81817545752284,47,32.86713286713287,8.095362885427456,12.561280673383456,20.666158037768426,24.81815136814032,0.4789362627025335,23,89,4162351.1999999997,1.06
194,80,41.23711340206186,10,35.82112309198757,127.01217145389826,300.01634789206315,75,38.65979381443299,7.437595041457277,11.844741472104234,20.297975834069412,25.41248538333947,0.4640473946671449,24,101,4412191.199999999,0.9533333333333334
182,67,36.81318681318681,10,43.34767417907338,140.02458206351363,377.11880012220524,63,34.61538461538461,8.045021248998294,12.509343908545631,20.74101234323252,25.012953370086144,0.438070673598698,25,101,4673466.899999999,1.2933333333333332
