ServiceID,total_requests,slow_requests,E_pct,n_replicas,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,cycle,servers_on
1,34,31.0,91.17647058823529,2,11.961689984757337,25.37093215694479,26.688904474860323,30,88.23529411764706,15.52319442632415,20.513514169100485,33.86213160300524,36.463317249595924,0,2
2,33,30.0,90.9090909090909,2,22.987983316817356,48.81572878491763,51.38009788605079,30,90.9090909090909,13.33459167116602,18.286347120385148,32.92475723140045,38.6849687132376,0,2
3,18,14.0,77.77777777777777,2,23.572106134779634,48.62604560939486,51.33930315101351,14,77.77777777777777,11.714460511105907,16.55057922407827,27.668521995299866,28.28326740260023,0,2
4,17,15.0,88.23529411764706,2,45.725278113053,92.4213557753674,96.89998957522178,14,82.3529411764706,14.370095646461962,19.395760111830946,28.320026580353122,28.6715225419919,0,2
5,19,17.0,89.47368421052632,2,55.81068459851959,111.02623688465398,118.22307222197207,16,84.21052631578948,16.064324397611873,21.21091430906087,32.04186401284629,32.24880762912286,0,2
6,16,13.0,81.25,2,75.95647336582459,153.76633334896763,162.7632040083429,12,75.0,13.975841237199731,18.973365824599643,31.59428806873366,34.42282969144112,0,2
7,11,8.0,72.72727272727273,2,81.8384914488775,137.52984873185972,147.53631101161162,8,72.72727272727273,15.223084235741055,20.309630695698864,33.41543096826877,37.024351433320064,0,2
8,14,12.0,85.71428571428571,2,116.0893691401282,233.7733813565734,246.7735128486707,11,78.57142857142857,13.011848984720467,17.940568699655774,24.96995950669919,26.571027199377912,0,2
9,10,7.0,70.0,2,138.01694531888637,256.5206885787332,267.321076914337,7,70.0,12.082902644624353,16.945318886380917,23.228732825118197,24.573650009471812,0,2
10,13,12.0,92.3076923076923,2,187.71578969451775,376.02493606667366,395.2278682486942,10,76.92307692307692,18.184112580986167,23.48200221007702,34.37441310770256,34.9788546992349,0,2
11,8,7.0,87.5,2,225.01855918683904,382.52183346629926,396.5209465764262,6,75.0,13.589254826809881,18.559186839067188,23.32837626936636,23.77952948625177,0,2
