total_requests,slow_requests,E_pct,servers_on,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,avg_load_balance_cv,cycle,total_replicas,cumulative_energy_joule,server_utilization
217,183,84.33179723502305,2,87.5998907847128,326.0160300623551,525.619590247119,173,79.72350230414746,14.247166215461707,19.245623422477024,32.61193712794013,37.89677205071839,0.5315635576352414,0,30,175067.7,0.0
202,178,88.11881188118812,2,82.00552175080722,299.0131790156374,389.7191467031007,164,81.18811881188118,15.2824521177947,20.373235955742512,35.863857096569774,40.186312599811544,0.6124229991141755,1,30,297091.2,7.233333333333333
206,152,73.7864077669903,3,51.36140625590876,175.0337989986859,225.01690907548013,141,68.44660194174757,11.933167759545178,16.746061734003547,29.774605437559153,36.104876806589104,0.4322794467363872,2,44,441816.9,4.488888888888889
182,121,66.48351648351648,4,39.636359466145414,124.76446076600541,197.12241308469473,106,58.24175824175824,10.797580855712813,15.480345266281772,28.332385662293483,32.05706139040162,0.3357212484487736,3,59,613053.6,3.433333333333333
185,121,65.4054054054054,5,44.966633604161366,158.0134627422135,279.0103863012995,110,59.45945945945946,10.631535867808873,15.282252810012249,27.153872807872308,28.77686249974624,0.5530738058229964,4,73,758877.6,2.4266666666666667
150,85,56.666666666666664,6,27.98746297775122,90.01781886638425,190.2164158998104,73,48.666666666666664,9.62903915927959,14.129644417887205,25.25185763458477,27.548717766420367,0.4529536782105736,5,86,913820.3999999999,2.0555555555555554
163,53,32.515337423312886,7,29.528123904660113,99.00167132523733,153.8140470959477,50,30.67484662576687,8.361461799105093,12.786481347228298,19.881066338890832,25.00285883859001,0.3870267577331374,6,94,1107840.5999999999,1.4285714285714286
167,59,35.32934131736527,8,30.647076673190863,114.0032275244204,150.00868872189878,53,31.736526946107784,7.9913230652586025,12.346134268709253,20.059207561743595,24.338997457607228,0.4757370800695147,7,107,1335946.4999999998,1.3583333333333334
181,59,32.59668508287293,9,24.005672437241312,90.01172313426355,108.01490802365885,56,30.939226519337016,6.8003242895943306,11.197299119765152,18.547770281286052,22.842368109828293,0.36457964993207964,8,120,1553513.0999999999,1.237037037037037
158,50,31.645569620253166,10,30.87867964720755,100.01371782304156,168.61167501065253,43,27.21518987341772,7.203474458724336,11.591039612611022,20.278393388553315,25.065465460028562,0.5042585307818703,9,132,1780450.4999999998,1.2066666666666668
140,31,22.142857142857142,10,23.361018583177334,75.2649575599745,132.21384517752173,28,20.0,6.711013667297295,11.018583177335714,18.779526305106824,21.216619332313762,0.4267707570416037,10,133,2001976.1999999997,1.0533333333333332
155,47,30.322580645161292,10,25.901754844279722,75.0116063503878,158.41212846826096,41,26.451612903225808,7.033475659770958,11.432263634559616,21.520446407141684,26.7974290633399,0.4117752569659229,11,133,2235173.0999999996,0.9333333333333333
139,27,19.424460431654676,10,25.183963307035214,80.009080508746,138.6119593636938,22,15.827338129496402,7.029894203856579,11.301436531619826,19.39466180053701,24.03749388317571,0.360987951127018,12,136,2474817.3,1.0333333333333334
131,15,11.450381679389313,10,24.880592969072545,90.01229066681496,114.01539096773331,15,11.450381679389313,6.139495855149307,10.363961438960713,17.09172244720921,21.18934067588437,0.3348116119285719,13,129,2706116.4,0.9266666666666666
130,19,14.615384615384615,10,28.30350701051608,85.51977804509701,150.0117439936273,16,12.307692307692308,6.834577678267911,11.199318208384446,19.325221968815427,23.361796508519213,0.37512139343629275,14,131,2932233.3,0.8733333333333333
122,27,22.131147540983605,10,23.634368168395195,90.01374399572893,143.7154954414081,23,18.852459016393443,7.015013343920032,11.417348723056632,20.006476186279322,23.67417237518114,0.33282857703732416,15,123,3143797.5,0.8666666666666667
119,20,16.80672268907563,10,25.06984992603833,80.00738252075321,140.0100138481672,17,14.285714285714286,6.746543293072079,11.026396626561942,18.72588916968226,24.72060697535424,0.36444798387452687,16,122,3355551.0,0.8133333333333334
111,22,19.81981981981982,10,20.217720741223065,75.01039545355158,117.01351799108966,19,17.117117117117118,6.315050058593458,10.513534015861174,20.73359697954896,26.254407888150894,0.2604755776982746,17,119,3552427.2,0.7933333333333333
127,32,25.19685039370079,10,30.830689701282235,120.00963652531792,168.5136628895708,27,21.25984251968504,7.331752355606649,11.792063486958929,22.907536125496478,25.266763612573786,0.5165742601320469,18,118,3766435.2,0.74
128,26,20.3125,10,27.4641145215858,100.00956818407163,143.25555771197057,23,17.96875,6.69888890808471,10.989521585800642,20.177595893335784,22.810296682286516,0.35267975639571997,19,128,3981568.5,0.8466666666666667
151,37,24.503311258278146,10,27.084218893340687,95.01943343992272,155.0097528289398,31,20.52980132450331,7.127394642372917,11.37121122148096,21.12702169334532,25.29967014561153,0.391936019825944,20,136,4222147.5,0.8533333333333334
161,39,24.22360248447205,10,27.00531261016389,80.0142402633708,150.0142492584689,33,20.496894409937887,7.208072439217628,11.523790288112266,23.78823739712686,24.94503232600703,0.3813430615080448,21,138,4476651.6,1.0066666666666666
159,36,22.641509433962263,10,21.834676088192577,60.01716892976909,90.01378412365219,27,16.9811320754717,6.513102777978969,10.776717123392263,20.741402625531656,24.58523338202925,0.3713182026585702,22,134,4704161.399999999,1.0733333333333333
143,41,28.67132867132867,10,26.49425646377878,80.01058435087795,100.01177774550547,39,27.272727272727273,7.353953536267102,11.738981261296074,20.666158037768426,24.81815136814032,0.40263083959772167,23,134,4932751.199999999,1.06
194,65,33.50515463917526,10,29.294609214850144,90.01097607034772,150.0082649901985,60,30.927835051546392,6.784747814087295,11.104060210970504,20.297975834069412,25.41248538333947,0.41829256879280485,24,144,5221291.199999999,0.9533333333333334
182,50,27.47252747252747,10,34.192748885623544,120.00891328315781,180.00839926952548,46,25.274725274725274,7.119829241231204,11.430204304867333,20.74101234323252,25.012953370086144,0.40047033253843595,25,145,5522166.899999999,1.2933333333333332
218,68,31.192660550458715,10,36.63512243422261,141.51251562009074,196.61652158806373,63,28.89908256880734,6.887705508579367,11.26922321343308,20.06227479840433,25.38674663629522,0.5128873701613426,26,140,5831002.8,1.2133333333333334
287,125,43.55400696864111,10,33.052739198345506,120.00742747503742,180.00737447879644,120,41.81184668989547,6.5959397858335995,10.92735165561139,18.89601037863099,24.8108776644519,0.49771612448127567,27,138,6129901.8,1.4533333333333334
